year,deltaC
2007,0.56055028
2008,0.59710391
2009,0.56499308
2010,0.56435822
2011,0.59946415
2012,0.65928985
2013,0.65874377
2014,0.66577679
2015,0.69310195
2016,0.72387756
2017,0.73579325
2018,0.73340821
2019,0.76957886
2020,0.83532238
