year,deltaC
2001,0.32049821
2002,0.33789531
2003,0.35522779
2004,0.37253242
2005,0.38986027
2006,0.40727967
2007,0.42490628
2008,0.44279264
2009,0.4609048
2010,0.47919912
2011,0.49777192
2012,0.51684049
2013,0.53663548
2014,0.55727413
2015,0.57870696
2016,0.60078105
2017,0.62333018
2018,0.64626992
2019,0.66957879
2020,0.69329594
